Account Name,Account ID,Tier,NTEE code,EIN,One time donations amount,Recurring donations amount,Total Donations Amount,FRU - Sector,FRU - Subsector
Bethlehem University Foundation,AMYHKBYX,Tier 5 ($5K–10K),X00: Religion: General,22-3600739,"$94,307","$13,970","$108,276",Religion,Religion - General
Lullaby Trust,ASAAUPHU,Tier 5 ($5K–10K),,,"$105,265","$2,880","$108,146",,
1A Op Horizon - Internal,ASZNEVFW,,,,"$94,611","$13,354","$107,965",,
Coalition on Homelessness,ATTGYNGN,Tier 6 (<$5K),P85: Homeless Persons Centers and Services,94-3111898,"$22,381","$85,235","$107,616",Human Services,"Human Services - Housing, Shelter"
Museo Tamayo,AFCWNQYY,,,,"$104,953","$2,369","$107,322",,
AG Bell Association for the Deaf and Hard of Hearing,AWSBNBDD,Tier 6 (<$5K),G40: Diseases of Specific Organs,,"$106,139","$1,153","$107,293",Healthcare,Healthcare - General
Alex McFarland Ministries,AEKNKCEA,Tier 6 (<$5K),X20: Christian,,"$93,090","$13,947","$107,037",Religion,Religion - Christian
Farm Radio International,AXPMXFEK,Tier 6 (<$5K),,,"$105,304","$1,655","$106,958",,
Hull Services,AQHKFYXA,Tier 5 ($5K–10K),,,"$104,602","$1,598","$106,200",Public and Society Benefit,Public & Society Benefit - General
The Witness Foundation,AVSNWJYX,Tier 5 ($5K–10K),"G50: Nerve, Muscle, and Bone Diseases",,"$44,231","$61,860","$106,091",Healthcare,Healthcare - General
Fondation Sante Urbaine,AZJJTMNZ,,,,"$102,296","$3,544","$105,840",,
CareerSpring,AWDHVSMR,,B11,85-1275392,"$105,099",$722,"$105,821",Education,Education - General
Momentum Children's Charity,AFDJSSRK,Tier 4 ($10K–$20K),,,"$103,201","$2,519","$105,720",,
CAIR Oklahoma,ALNXHJGG,Tier 6 (<$5K),"R20: Civil Rights, Advocacy for Specific Groups",,"$87,846","$17,622","$105,468",Human Services,"Human Services - Civil Rights, Social Justice"
International Development Enterprises,AJGDLXVC,Tier 2 ($50K–$100K),Q023,23-2220051,"$75,962","$29,375","$105,337",,
Virunga Fund,AZHEHVSE,Tier 4 ($10K–$20K),,,"$60,010","$45,315","$105,325",,
Sigma Chi Foundation,ADHQTLNW,Tier 4 ($10K–$20K),B82Z,36-2208386,"$61,021","$44,235","$105,256",Education,Education - General
Homeward Bound of Western North Carolina,AYWMSDCS,Tier 4 ($10K–$20K),L41Z,56-1568917,"$56,543","$48,568","$105,111",,
Theirworld,AFZDPAVL,Tier 5 ($5K–10K),,,"$102,820","$2,030","$104,850",,
Kenneth Copeland Ministries Canada,ACZWGJGS,Tier 5 ($5K–10K),,,"$103,667","$1,092","$104,760",,
Cristo Rey Philadelphia High School,AYLYAEFG,Tier 4 ($10K–$20K),B25,27-3106321,"$98,976","$5,772","$104,748",,
Minds Matter NYC,AVHCNBHB,Tier 6 (<$5K),,,"$100,708","$3,661","$104,369",,
MUHSEN,AACLSFNS,Tier 5 ($5K–10K),P82: Developmentally Disabled Centers and Services,47-3187591,"$100,135","$3,483","$103,618",Human Services,"Human Services - Housing, Shelter"
Beyond Borders,AZVXDBZU,Tier 6 (<$5K),"Q20: International Exchanges, Cultural Understanding",23-2713126,"$64,407","$39,110","$103,517",International Affairs,International Affairs - General
Polar Bears International- Canada,ALEVZCQP,,,,"$66,028","$37,238","$103,266",,
Sozo Children,AECUZZQW,Tier 6 (<$5K),,,"$71,764","$31,450","$103,214",,
The Cornucopia Institute,AGEVKVMV,Tier 4 ($10K–$20K),"K00: Food, Agriculture, and Nutrition: General",20-1075143,"$88,933","$13,653","$102,586",Food & Nutrition,Food - General
Life Advancement Group,ACGVGNYJ,Tier 6 (<$5K),,82-3381780,"$55,848","$46,529","$102,378",,
"Goodwill Industries International, Inc.",ACRMSRGU,Tier 5 ($5K–10K),J30: Vocational Rehabilitation,53-0196517,"$96,339","$5,620","$101,959",Public and Society Benefit,"Public & Society Benefit - Employment, Job"
Maahad Tahfiz Mumtazatut Taqwa,AKLZPDJN,Tier 6 (<$5K),,,"$2,580","$99,240","$101,820",,
Zola Levitt Ministries,AFEACUFR,Tier 3 ($20K–$50K),X20: Christian,75-1680391,"$94,086","$7,338","$101,424",Religion,Religion - Christian
The National Family Centre Limited,AXGGKXWT,Tier 4 ($10K–$20K),,,"$28,912","$72,172","$101,083",,
SAG-AFTRA Foundation,ABEUDESJ,Tier 2 ($50K–$100K),A70: Humanities Organizations,,"$99,337","$1,583","$100,920",Arts & Culture,Arts & Culture - General
A Well-Fed World,AHJURUHN,Tier 3 ($20K–$50K),"K00: Food, Agriculture, and Nutrition: General",27-0865905,"$63,819","$36,694","$100,513",Food & Nutrition,Food - General
Hope For Paws,ANCKGENG,Tier 1 ($100K+),D20: Animal Protection and Welfare,26-2869386,"$71,400","$29,112","$100,512",Animal Welfare,Animal Welfare - General
Riverview International Center,AWUNGYWV,Tier 6 (<$5K),"S20: Community, Neighborhood Development, Improvement",47-5455666,"$51,289","$49,149","$100,438",Public and Society Benefit,Public & Society Benefit - General
Girl Scouts of Northern California,AZZGYHJA,Tier 5 ($5K–10K),O40: Scouting Organizations,94-1551410,"$86,655","$13,726","$100,381",Human Services,Human Services - Sports & Youth Development
Covenant Pines Ministries,AECYHXWU,Tier 6 (<$5K),,,"$37,020","$63,317","$100,337",,
Caruso Family Charities,AEEDTEKL,Tier 6 (<$5K),T90,20-5904999,"$80,791","$19,509","$100,299",,
United Way of Greater Chattanooga,ALCGNRJJ,Tier 4 ($10K–$20K),T700,62-0565962,"$97,654","$2,592","$100,246",,
Tiferet Yeshua,AHLHCHSM,,,,"$76,766","$23,417","$100,183",,
Watan USA,ARGYNZRL,,Q33,99-4695595,"$97,100","$3,078","$100,178",International Affairs,International Affairs - General
CorpsAfrica,AWUQQHXJ,Tier 4 ($10K–$20K),"Q30: International Development, Relief Services",45-2470692,"$37,059","$63,042","$100,100",International Affairs,International Affairs - General
Metro United Way,ANJDAYST,Tier 3 ($20K–$50K),"T00: Philanthropy, Voluntarism, and Grantmaking Foundations: General",61-0444680,"$91,780","$7,695","$99,474",Public and Society Benefit,Public & Society Benefit - General
Tinnitus Quest,AEYEFPPK,Tier 6 (<$5K),H80,33-1534250,"$64,770","$34,644","$99,414",,
Fields of Life GB,ABPHRCPJ,,,,"$57,970","$41,394","$99,364",,
HealthRight International,APMUPPAT,Tier 6 (<$5K),"Q30: International Development, Relief Services",13-3791391,"$98,909",$400,"$99,309",International Affairs,International Affairs - General
Al Basar,AJVJNJSJ,,,,"$90,213","$9,022","$99,235",,
Environmental Working Group,AKWZXHJB,Tier 3 ($20K–$50K),C60: Environmental Education,52-2148600,"$72,005","$27,170","$99,174",Environment,Environment - General
Relief International,AVNXSDHX,Tier 3 ($20K–$50K),Q33: International Relief,95-4300662,"$75,202","$23,891","$99,094",International Affairs,International Affairs - General
Life Services Spokane,AZDXDKNY,Tier 6 (<$5K),P40: Family Services,,"$97,282","$1,782","$99,064",Human Services,Human Services - General
ADA-Development,ANMANEHQ,,,,"$98,811",$179,"$98,990",,
Skowhegan School of Painting and Sculpture,APSJHBJJ,,A250,01-0263908,"$89,755","$9,156","$98,911",Arts & Culture,Arts & Culture - General
Beyond Pregnancy Care,APPNPYNN,Tier 6 (<$5K),P40: Family Services,82-2923342,"$28,936","$69,966","$98,902",Human Services,Human Services - General
Friends of the Children of Haiti,AJGKPYVK,Tier 6 (<$5K),Q33: International Relief,37-1274477,"$81,176","$17,692","$98,868",International Affairs,International Affairs - General
Oxfam International,AHENMVJF,,T20: Private Foundations,52-1999959,"$68,666","$30,078","$98,745",Public and Society Benefit,Public & Society Benefit - General
Positive Tails,XQPWZYOZ,Tier 6 (<$5K),D20: Animal Protection and Welfare,32-0410872,"$83,882","$14,714","$98,596",Animal Welfare,Animal Welfare - General
Bath Cats & Dogs Home,ASWTDVZP,Tier 5 ($5K–10K),D20: Animal Protection and Welfare,,"$89,176","$8,938","$98,115",Animal Welfare,Animal Welfare - General
Weatherford Foundation,ACMEGMPT,Tier 5 ($5K–10K),M20,82-2730602,"$97,783",$326,"$98,110",,
Don't Shoot Portland,AUDEFHNX,Tier 6 (<$5K),"R00: Civil Rights, Social Action, Advocacy: General",,"$19,315","$78,655","$97,970",Human Services,"Human Services - Civil Rights, Social Justice"
Sea Shepherd Nederland,AKUNPDWF,,,,"$35,805","$62,027","$97,832",,
"California Rural Legal Assistance, Inc. (CRLA)",ANFUKSEH,Tier 3 ($20K–$50K),I80: Legal Services,95-2428657,"$90,863","$6,968","$97,831",Public and Society Benefit,"Public & Society Benefit - Crime, Legal"
Asia Wild,ADCGPEKJ,Tier 2 ($50K–$100K),"D30: Wildlife Preservation, Protection",31-1802788,"$49,107","$48,240","$97,347",Animal Welfare,Animal Welfare - General
KCIS 630,AWXTMVEW,,,,"$54,576","$42,727","$97,302",,
Illumination Health + Home,AMMXJXLL,Tier 5 ($5K–10K),P85,71-1047686,"$94,775","$2,505","$97,280",,
City Center,ALZDJCPT,Tier 6 (<$5K),,,"$64,845","$32,428","$97,273",,
Connected Families,AEGMJXCT,Tier 6 (<$5K),,,"$27,774","$69,478","$97,252",Public and Society Benefit,"Public & Society Benefit - Crime, Legal"
MAG US,AASKPMGY,,,,"$76,065","$21,185","$97,250",,
Real Organic Project,AYEFLGUA,Tier 6 (<$5K),"C42: Garden Club, Horticultural Program",82-4466391,"$46,205","$50,995","$97,200",Environment,Environment - General
"North Country Food Bank, Inc.",AEGLNFWL,Tier 5 ($5K–10K),"K31: Food Banks, Food Pantries",41-1459758,"$85,673","$11,219","$96,891",Food & Nutrition,Food Banks
Irish Annual Fund,AQMLYYRY,,,,"$93,909","$2,551","$96,460",,
The Restoration House,ALRKJVSK,Tier 6 (<$5K),P40: Family Services,20-5775672,"$71,760","$24,663","$96,423",Human Services,Human Services - General
National Indian Child Welfare Association,AFBDZETD,Tier 4 ($10K–$20K),"P84: Ethnic, Immigrant Centers and Services",93-0951531,"$85,656","$10,471","$96,127",Human Services,"Human Services - Housing, Shelter"
Letters to a Pre-Scientist,AHFDERQC,Tier 6 (<$5K),B90: Educational Services,83-0818098,"$30,965","$65,035","$96,001",Education,Education - General
Sunshine Gospel Ministries,ACWPKBNK,Tier 5 ($5K–10K),,36-2317631,"$19,422","$76,466","$95,888",Religion,Religion - Christian
Goodfellows,APCCMKWB,,,,"$82,192","$13,459","$95,651",,
Pantry Packers,ANXCXLPH,Tier 6 (<$5K),,,"$72,182","$23,338","$95,521",,
Calgary Health Foundation,ALXBDGEN,,,,"$95,396",$0,"$95,396",,
Ottawa Network for Education,ADJMFJLY,Tier 4 ($10K–$20K),B12: Fundraising and/or Fund Distribution,,"$68,846","$26,466","$95,312",Education,Education - General
The Sick Children's Trust,AQZJLWSC,,,,"$61,961","$33,288","$95,250",,
Colon Cancer Coalition,ASZLULBT,Tier 3 ($20K–$50K),G30: Cancer,30-0377727,"$93,012","$2,047","$95,059",Healthcare,Healthcare - Cancer
Helping Hands Jamaica Foundation,AXNSJBPS,,,,"$91,012","$3,925","$94,937",,
The Bee Conservancy,ARWKHMNH,,,,"$70,847","$24,034","$94,881",Environment,Environment - General
OpenPlans,AJVLWKQC,Tier 5 ($5K–10K),W01: Public and Societal Benefit Alliances and Advocacy,13-4111130,"$81,521","$13,206","$94,728",Public and Society Benefit,Public & Society Benefit - General
Pacific Whale Foundation,AJZJNVJH,Tier 3 ($20K–$50K),"D30: Wildlife Preservation, Protection",99-0207417,"$77,600","$17,030","$94,630",Animal Welfare,Animal Welfare - General
All People Free,AXQYJBJH,Tier 6 (<$5K),X20: Christian,82-1638126,"$65,741","$28,860","$94,601",Religion,Religion - Christian
Wijhah Initiative,ATECRGQX,Tier 6 (<$5K),,,"$84,151","$10,414","$94,566",,
The Sloth Conservation Foundation,ACDVDEWA,,,,"$7,910",$268,"$8,178",,
The Sloth Conservation Foundation,ADQFHMQR,,,,"$55,946","$30,241","$86,187",,
Hope Restored India,AYGTKGVX,Tier 6 (<$5K),"Q30: International Development, Relief Services",81-1008490,"$47,310","$46,881","$94,191",International Affairs,International Affairs - General
SOS Outreach,ACVZAMUP,Tier 4 ($10K–$20K),"O50: Youth Development Programs, Other",84-1332544,"$87,126","$6,864","$93,991",Human Services,Human Services - Sports & Youth Development
SWAT Ministries,AXFQBDLL,,O55: Youth Development-Religious Leadership,,"$70,169","$23,495","$93,664",Human Services,Human Services - Sports & Youth Development
Mama Cash,AFWFKUAZ,Tier 6 (<$5K),B24: Elementary School,,"$77,290","$15,132","$92,422",Education,K-12 Education
Amani Sasa,AVLLRWMF,Tier 6 (<$5K),Q33,83-2515813,"$40,203","$52,030","$92,233",International Affairs,International Affairs - General
Organization of Black Aerospace Professionals,AJDHMJRL,Tier 5 ($5K–10K),"M03: Public Safety, Disaster Preparedness and Relief Professional Societies and Associations",27-1836543,"$68,478","$23,527","$92,005",Human Services,Human Services - Public Safety
New Roots Institute,ATMZUUFC,Tier 6 (<$5K),K19,82-4594246,"$54,550","$37,224","$91,774",,
National Brain Tumor Society,ANWCQDNZ,Tier 4 ($10K–$20K),,04-3068130,"$90,275","$1,288","$91,563",Healthcare,Healthcare - General
UK Colel Chabad/Pantry Packers,ACJGGHZT,Tier 6 (<$5K),,,"$81,108","$10,261","$91,369",,
Baltimore Beat,AHZGVELC,Tier 3 ($20K–$50K),"A33: Printing, Publishing",87-1953122,"$16,991","$74,088","$91,079",Arts & Culture,Arts & Culture - Media
Combat Control Foundation,AKQHXSBQ,Tier 5 ($5K–10K),X20: Christian,83-3980682,"$75,375","$15,449","$90,824",Religion,Religion - Christian
Christ Church Jerusalem,AJQQUDSH,,,,"$74,549","$15,565","$90,114",,
Friends of Matènwa,AKHRWSDE,Tier 6 (<$5K),,,"$54,269","$35,817","$90,086",,
Remember Jerusalem,ADPDHBPD,Tier 6 (<$5K),X20: Christian,82-5018513,"$21,773","$68,050","$89,823",Religion,Religion - Christian
Friends of Birdlife International,ANEDGCHM,,D30,30-0265343,"$81,637","$8,072","$89,708",,
Arizona Burn Foundation,AKLMAVCN,Tier 2 ($50K–$100K),E70: Public Health Programs,86-0207519,"$86,666","$3,038","$89,704",Healthcare,Healthcare - General
HeartMath Institute,AWFJBBBK,Tier 6 (<$5K),F00: Mental Health: General,,"$59,661","$29,969","$89,630",Healthcare,"Healthcare - Mental Health, Abuse"
Hope 680,ALEZHPFZ,Tier 6 (<$5K),P80: Services to Promote the Independence of Specific Population Groups,,"$45,343","$44,055","$89,398",Human Services,"Human Services - Housing, Shelter"
Depaul Ireland,APDTZCGB,Tier 5 ($5K–10K),,,"$85,203","$4,126","$89,329",,
Women's Foundation of California,ARCNMKCB,Tier 6 (<$5K),,94-2752421,"$78,570","$10,655","$89,225",Public and Society Benefit,Public & Society Benefit - General
The Noor Project,AUPYHXSP,Tier 4 ($10K–$20K),,,"$6,492","$82,245","$88,737",,
Down Syndrome Ireland,ADLAXWSD,Tier 5 ($5K–10K),,,"$85,991","$2,698","$88,689",,
Kentucky Refuge for Women,AGVCEDKR,,,,"$47,461","$41,136","$88,597",,
Heart and Home Makeovers,AKGPUTGW,Tier 6 (<$5K),L81,82-4617667,"$24,709","$63,812","$88,521",Human Services,"Human Services - Housing, Shelter"
Big Life Canada,AMRKSAQJ,,,,"$65,978","$22,030","$88,008",,
Utah Lunch Debt Relief Foundation,AGSFVRQW,Tier 6 (<$5K),"R20: Civil Rights, Advocacy for Specific Groups",99-3509546,"$73,282","$14,692","$87,974",Human Services,"Human Services - Civil Rights, Social Justice"
The Arc Jacksonville,AFUDSQNW,Tier 6 (<$5K),P82: Developmentally Disabled Centers and Services,59-6209603,"$57,321","$30,607","$87,927",Human Services,"Human Services - Housing, Shelter"
The Progressive,AZPAWTMZ,Tier 4 ($10K–$20K),"A33: Printing, Publishing",39-0773233,"$29,246","$58,519","$87,764",Arts & Culture,Arts & Culture - Media
HHA UK,AHUPRTKM,,,,"$58,018","$29,702","$87,720",,
Working Dogs for Conservation,APGEGMJF,Tier 6 (<$5K),"D30: Wildlife Preservation, Protection",20-2708654,"$62,738","$24,459","$87,197",Animal Welfare,Animal Welfare - General
Rebuilding Together Philadelphia,ANRNCURJ,Tier 5 ($5K–10K),,23-2549594,"$66,897","$20,194","$87,091",,
Haitian Community Help & Support Center,ANCLJKUY,Tier 6 (<$5K),P50: Personal Social Services,93-4819144,"$69,055","$18,023","$87,078",Human Services,Human Services - General
MGA Foundation,ATWXTUZM,Tier 6 (<$5K),N6A: Golf,,"$85,089","$1,911","$87,000",Human Services,Human Services - Sports & Youth Development
Hira Institute,AXVBHWPF,,X40: Islamic,81-1883949,$851,"$3,232","$4,083",Religion,Religion - Islamic
,AZGRVNCA,,X40: Islamic,81-1883949,$692,"$82,184","$82,876",Religion,Religion - Islamic
The Innocent,AVDYCMEV,Tier 5 ($5K–10K),I80,38-3620946,"$49,494","$37,463","$86,957",,
Midwest Innocence Project,AKHCZTRG,Tier 6 (<$5K),I80: Legal Services,43-1914499,"$48,505","$38,375","$86,880",Public and Society Benefit,"Public & Society Benefit - Crime, Legal"
Global Disciples Canada,AFKHBRYX,Tier 5 ($5K–10K),"A00: Arts, Culture, and Humanities: General",,"$51,556","$35,299","$86,856",Arts & Culture,Arts & Culture - General
Friends of the Rouge,AHGHWPJQ,Tier 6 (<$5K),"C32: Water Resource, Wetlands Conservation and Management",38-2672879,"$82,396","$4,370","$86,766",Environment,Environment - General
Abode for Children,AJZHMLVE,Tier 5 ($5K–10K),P12,20-4198100,"$27,435","$59,319","$86,754",,
Hagar,AQNVANCL,Tier 4 ($10K–$20K),,,"$47,959","$38,769","$86,728",,
Westchester Parks Foundation,ATCFFLTV,Tier 6 (<$5K),,13-2937499,"$72,178","$14,531","$86,709",Human Services,Human Services - Sports & Youth Development
ChildFund NZ,AVKATCEX,Tier 4 ($10K–$20K),Q33: International Relief,,"$54,272","$32,409","$86,681",International Affairs,International Affairs - General
Wylde Center,AZLRVHCF,Tier 6 (<$5K),C60: Environmental Education,58-2339007,"$51,159","$35,362","$86,521",Environment,Environment - General
The Other Ones Foundation,ATHEUQJD,Tier 4 ($10K–$20K),P85,82-1690537,$161,"$85,946","$86,107",Human Services,"Human Services - Housing, Shelter"
American Camp Association,ARZVZCGW,Tier 4 ($10K–$20K),N20: Recreational and Sporting Camps,,"$81,885","$4,199","$86,084",Human Services,Human Services - Sports & Youth Development
COMPASS Refugee Centre,ARTJLLRJ,Tier 5 ($5K–10K),"Q71: International Migration, Refugee Issues",,"$59,518","$26,308","$85,826",International Affairs,International Affairs - General
CuriOdyssey,ALHTSRMR,Tier 5 ($5K–10K),A560,94-1262434,"$76,500","$9,325","$85,825",Arts & Culture,Arts & Culture - General
Wallis Annenberg PetSpace,AHSQBMYB,Tier 5 ($5K–10K),,,"$81,136","$4,601","$85,737",,
Elévate Guatemala,AZGPDCTT,,B90: Educational Services,,"$23,174","$62,432","$85,606",Education,Education - General
The Healing Foundation,ARFHAJZH,Tier 6 (<$5K),,,"$41,746","$43,747","$85,493",,
Empowered21,ATUZBGAA,Tier 4 ($10K–$20K),"B60: Adult, Continuing Education",,"$80,929","$4,388","$85,317",Education,Higher Education
Our Minds Matter,AGAXSQMU,,F70,45-4313590,"$81,951","$3,142","$85,093",,
Biblical Counseling Hub,AZQTPDFZ,Tier 6 (<$5K),X20,92-1979377,"$14,171","$70,832","$85,003",Religion,Religion - Christian
International Tree Foundation,AWMTMTGX,,,,"$73,643","$11,187","$84,829",,
CORE,ADUUVTCW,Tier 6 (<$5K),,,"$58,407","$26,312","$84,719",Education,K-12 Education
There is More Ministries,ATVFPDYV,Tier 5 ($5K–10K),,58-1268091,"$61,944","$22,752","$84,696",Religion,Religion - Christian
Mercy Ships Deutschland e. V.,AEMNAXML,,,,"$83,312","$1,236","$84,549",,
Ronald McDonald House Charities Piedmont Triad,AKYHQHJN,,,,"$78,261","$6,079","$84,340",,
YFC West Sound,AZGFMTRZ,Tier 6 (<$5K),,,"$27,537","$56,802","$84,339",,
